STATE,IBGE_RES_POP,IBGE_RES_POP_BRAS,IBGE_DU,IBGE_DU_URBAN,IBGE_DU_RURAL,IBGE_POP,IBGE_1,IBGE_1-4,IBGE_5-9,IBGE_10-14,IBGE_15-59,IBGE_60+,IBGE_PLANTED_AREA,IBGE_CROP_PRODUCTION_$,IDHM,LONG,LAT,ALT,PAY_TV,FIXED_PHONES,AREA,CATEGORIA_TUR,ESTIMATED_POP,RURAL_URBAN,GVA_AGROPEC,GVA_INDUSTRY,GVA_SERVICES,GVA_PUBLIC,GVA_TOTAL,TAXES,GDP,POP_GDP,GDP_CAPITA,GVA_MAIN,COMP_TOT,COMP_A,COMP_B,COMP_C,COMP_E,COMP_F,COMP_G,COMP_H,COMP_I,COMP_L,COMP_M,COMP_N,COMP_O,COMP_P,COMP_Q,COMP_R,COMP_S,HOTELS,BEDS,Pr_Agencies,Pu_Agencies,Pr_Bank,Pu_Bank,Cars,Motorcycles,Wheeled_tractor,UBER,MAC,WAL-MART,POST_OFFICES
10,3684,3684,1026,444,582,1540,20,94,138,168,918,202,388,426,0.621,-44.8119,-16.5041,600.6125,54,24,505.914,0,3810,3,5223,1322,8026,18133,32704,987,33691,3853,8744.0,1,31,1,0,1,0,1,18,1,1,0,0,1,2,1,0,0,4,0,0,0,0,0,0,232,351,0,0,0,0,1
16,6803,6803,1686,379,1307,1424,18,112,133,144,871,146,882,1099,0.528,-42.626,-3.8079,56.083,89,10,477.629,0,7245,3,3093,1039,6229,27960,38321,1082,39403,7126,5530.0,1,27,0,0,0,0,0,17,0,1,0,0,1,3,1,0,0,4,0,0,0,0,0,0,112,374,0,0,0,0,1
4,8895,8895,2560,1028,1532,3466,41,181,277,339,2148,480,530,94,0.587,-39.1237,-11.805,245.4172,16,89,447.578,0,8338,3,7879,2931,14296,27302,52408,1448,53856,8894,6055.0,1,41,0,0,2,0,4,26,2,0,0,0,1,2,0,1,0,3,0,0,0,0,0,0,287,545,0,0,0,0,1
4,9410,9410,2558,953,1605,3218,67,248,298,316,1916,373,1212,2375,0.565,-44.205,-13.0759,703.4963,14,112,460.388,0,9719,3,9645,3526,14314,32038,59523,1798,61321,10146,6044.0,1,82,1,0,5,0,3,57,1,0,0,1,2,2,2,0,0,8,0,0,0,0,0,0,291,1238,0,0,0,0,1
14,3899,3899,1197,502,695,1505,25,88,147,133,859,253,84,545,0.585,-36.4955,-7.7311,452.0401,12,43,497.204,5,4140,3,3195,898,6064,19878,30035,976,31011,4143,7485.0,1,23,0,0,1,0,0,15,0,0,0,0,0,3,1,0,0,2,0,0,0,0,0,0,128,135,0,0,0,0,1
26,2316,2316,666,530,136,1821,31,131,179,209,1103,168,7,16,0.64,-48.396,-7.0315,300.4475,30,50,339.405,0,2556,3,9158,729,6250,17501,33638,1307,34945,2531,13807.0,1,12,0,0,0,0,1,7,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,145,373,0,0,0,0,1
10,2446,2446,690,410,280,1303,13,63,106,139,804,178,101,169,0.65,-43.1458,-19.0871,572.655,37,99,259.103,0,2617,3,2286,829,7346,14541,25003,691,25693,2615,9825.0,1,36,1,0,1,0,0,16,5,2,0,1,2,4,2,0,0,2,0,0,0,0,0,0,477,417,0,0,0,0,1
14,2378,2378,593,413,180,1709,26,107,149,198,1078,151,150,43,0.603,-38.3442,-7.0397,369.8459,3,7,54.524,0,2631,3,1137,653,4646,16472,22908,531,23439,2635,8895.0,1,20,0,0,0,0,0,11,0,0,0,0,0,2,1,0,0,6,0,0,0,0,0,0,103,392,0,0,0,0,1
14,4543,4543,1329,314,1015,1024,22,68,87,93,624,130,172,138,0.623,-36.0207,-7.4196,413.43,19,57,118.08,0,4807,3,6708,6899,9669,25027,48303,3022,51325,4810,10670.0,1,25,0,0,3,0,0,12,2,0,0,0,0,2,1,0,0,5,0,0,0,0,0,0,489,590,0,0,0,0,1
16,5039,5039,1267,263,1004,966,10,57,95,110,605,89,1941,3998,0.488,-41.8827,-3.4269,18.9467,85,24,491.063,5,5395,3,5935,1548,8841,23496,39820,2077,41897,5306,7896.0,1,27,1,0,3,0,0,17,0,0,0,0,0,4,1,0,0,1,0,0,0,0,0,0,155,539,0,0,0,0,1
4,10368,10368,2970,1114,1856,3652,56,251,343,419,2104,479,900,1394,0.546,-40.4373,-11.0931,485.382,64,276,540.908,0,9372,3,24911,7787,18948,33898,85543,1822,87366,10179,8583.0,1,44,0,0,3,0,3,24,1,0,0,2,1,1,2,0,0,7,0,0,0,0,0,0,623,838,0,0,0,0,1
9,7887,7887,1987,1029,958,4080,63,351,496,482,2297,391,705,1387,0.585,-44.8318,-2.1913,34.5193,199,18,319.053,0,8604,3,5054,1727,8989,26444,42214,1116,43330,8534,5077.0,1,27,0,0,1,0,0,12,0,1,0,0,1,2,0,0,0,10,0,0,0,0,0,0,74,428,0,0,0,0,1
9,12565,12565,2587,1452,1135,7051,121,573,812,724,4431,390,2874,8071,0.542,-46.04,-2.457,50.3296,385,27,1167.848,0,13243,3,15800,2256,16235,33686,67976,2583,70559,13295,5307.0,1,45,0,0,0,0,0,38,0,0,0,0,0,3,1,0,0,3,0,0,0,0,0,0,147,742,0,0,0,0,1
26,1335,1335,454,244,210,749,11,48,73,90,459,68,104,607,0.619,-49.1831,-10.142,273.8223,24,40,659.249,0,1401,3,8301,794,2036,10148,21278,537,21816,1402,15560.0,1,11,1,0,1,0,1,3,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,46,145,0,0,0,0,1
1,7146,7146,1877,1224,653,4452,81,350,473,516,2595,437,1420,7671,0.575,-36.2994,-9.2614,420.4719,50,32,169.464,0,7319,3,28061,1141,10892,28882,68977,973,69950,7424,9422.0,1,28,1,0,3,0,0,14,2,1,0,1,2,2,1,0,0,1,0,0,0,0,0,0,296,755,0,0,0,0,1
16,4525,4525,1329,811,518,2667,41,144,242,254,1649,337,605,778,0.555,-41.979,-4.5538,142.426,114,66,310.346,0,4881,3,1591,1242,8927,21125,32886,1596,34482,4805,7176.0,1,31,2,0,2,0,1,20,0,0,0,0,2,2,0,1,0,1,0,0,0,0,0,0,262,905,0,0,0,0,1
